"","Article.Title","Link","Date.Published","News.Outlet","Preview","Key.Author","All.Authors"
"2","Advocates: NC DEQ water permitting limited by proposed bill ...","<a href='https://www.newsobserver.com/news/politics-government/article276045686.html' target='_blank'>Link to Article</a>","2023-06-03","www.newsobserver.com","Legislators are seeking to change a North Carolina law that is central to an ongoing lawsuit over biogas digesters on hog farms.","Adam Wagner",""
"3","Complaint faults NC for failing to regulate poultry farms | Charlotte ...","<a href='https://www.newsobserver.com/news/state/north-carolina/article274850381.html' target='_blank'>Link to Article</a>","2023-05-02","www.newsobserver.com","The NC Department of Environmental Quality’s approach disproportionately hurts people of color, the complaint says.","Adam Wagner",""
"4","Durham County to have environmental justice in health report ...","<a href='https://www.newsobserver.com/news/local/article275955271.html' target='_blank'>Link to Article</a>","2023-06-03","www.newsobserver.com","Alamance County was the first to include an environmental justice chapter in its community health assessment. Several more are coming.","Adam Wagner",""
"6","NC lawmakers considering reducing wetlands protections | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article275780526.html' target='_blank'>Link to Article</a>","2023-05-26","www.newsobserver.com","NC legislators are considering changing the state’s wetlands definition to match the federal government’s, which the Supreme Court sharply limited.","Adam Wagner",""
"7","Could NC regulators reduce unequal pollution exposures? | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article275506936.html' target='_blank'>Link to Article</a>","2023-05-25","www.newsobserver.com","Some environmental lawyers believe that state environmental regulators have more authority than they use to weigh pollution already released in a community before allowing more.","Adam Wagner",""
"9","Mapping NC environmental permits reveals uneven risks | Raleigh ...","<a href='https://www.newsobserver.com/news/politics-government/article275479706.html' target='_blank'>Link to Article</a>","2023-05-25","www.newsobserver.com","NC environmental activists focuses on cumulative impacts in rural areas. But some people in urban corridors live near multiple sources of pollution emissions too.","Adam Wagner",""
"10","NC regulatory bill helps RDU quicken new runway construction ...","<a href='https://www.newsobserver.com/news/politics-government/article275942896.html' target='_blank'>Link to Article</a>","2023-06-05","www.newsobserver.com","A sprawling regulatory reform bill includes two provisions that tweak environmental rules to help RDU’s proposed runway construction.","Adam Wagner",""
"13","NC's Mandy Cohen may be Biden's next CDC leader, Post says ...","<a href='https://www.newsobserver.com/news/politics-government/article276003176.html' target='_blank'>Link to Article</a>","2023-06-01","www.newsobserver.com","Dr. Mandy Cohen has been in the private sector for the past year and a half.","Adam Wagner",""
"14","AI presents 'risk of extinction,' Duke professors caution | Raleigh ...","<a href='https://www.newsobserver.com/news/local/article275980691.html' target='_blank'>Link to Article</a>","2023-06-01","www.newsobserver.com","The new statement equates artificial intelligence potential harms to those of nuclear weapons and pandemic. Could a bot fire nuclear weapons?","Adam Wagner",""
"16","NCDOT opens new lanes on Interstate 40 south of Raleigh | Raleigh ...","<a href='https://www.newsobserver.com/news/local/article274729606.html' target='_blank'>Link to Article</a>","2023-04-26","www.newsobserver.com","New lanes opened in each direction, but there’s still more work to do.","Adam Wagner",""
